"Hour","Month","Day_of_Month","Day","Van_Temp_Cel","Van_Dew_Point_Temp_Cel","Van_Relative_Humidity_Per","Vic_Temp_Cel","Vic_Dew_Point_Temp_Cel","Vic_Relative_Humidity_Per","Vic_Wind_Direct_Deg","Vic_Wind_Speed","Vic_Visibility","Vic_Station.Pressure","Minute"
"13","12","23","5",3.6,2.7,"94",3.4,2.1,"91","290",4,16.1,100.26," 0"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28," 0"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36," 0"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4," 0"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49," 0"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52," 0"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58," 0"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62," 0"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7," 0"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"10"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"20"
" 5","12","23","5",3.7,2.8,"94",-0.5,-2,"91","360",11,24.1,101.47,"15"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14,"45"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"15"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"45"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"15"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"45"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62,"15"
"22","12","23","5",2.8,2.2,"95",15.9,12.6,"81","100",9,24.1,101.46,"45"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14," 0"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14," 0"
"11","12","23","5",3.7,2.7,"93",2.9,1.7,"92","260",9,16.1,100.26," 0"
"13","12","23","5",3.6,2.7,"94",3.4,2.1,"91","290",4,16.1,100.26," 0"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36," 0"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49," 0"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58," 0"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7," 0"
" 5","12","23","5",3.7,2.8,"94",10.6,7.2,"79","260",20,24.1,101.63,"10"
" 5","12","23","5",3.7,2.8,"94",13.3,9.5,"80"," 20",17,24.1,102.86,"20"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1,"30"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14,"10"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"25"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28,"15"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28,"50"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4,"15"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52,"30"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"40"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14," 0"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1," 0"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14," 0"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22," 0"
"11","12","23","5",3.7,2.7,"93",2.9,1.7,"92","260",9,16.1,100.26," 0"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26," 0"
"13","12","23","5",3.6,2.7,"94",3.4,2.1,"91","290",4,16.1,100.26," 0"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28," 0"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36," 0"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4," 0"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49," 0"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52," 0"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58," 0"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7," 0"
"22","12","23","5",2.8,2.2,"95",0.9,-0.4,"92","250",13,24.1,101.5," 0"
" 5","12","23","5",3.7,2.8,"94",10.6,8.2,"84","230",21,24.1,102.72,"15"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14,"45"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"15"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"45"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"15"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"45"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62,"15"
"22","12","23","5",2.8,2.2,"95",12.6,8.1,"76","140",10,24.1,101.98,"45"
" 6","12","23","5",3.6,2.9,"95",2.4,1.4,"93","360",10,9.7,100.17,"20"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1,"30"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14,"50"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"40"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"50"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28,"10"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"10"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"20"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52,"30"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"30"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7,"30"
" 6","12","23","5",3.6,2.9,"95",2.4,1.4,"93","360",10,9.7,100.17," 0"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14," 0"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1," 0"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14," 5"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22," 5"
"11","12","23","5",3.7,2.7,"93",2.9,1.7,"92","260",9,16.1,100.26," 5"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"10"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28,"35"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"45"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4,"45"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"50"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52,"50"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"50"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62,"40"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7,"40"
" 6","12","23","5",3.6,2.9,"95",2.4,1.4,"93","360",10,9.7,100.17,"20"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1,"30"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"40"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26," 0"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"50"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"10"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4,"20"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"20"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"30"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62,"35"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7,"30"
" 7","12","23","5",3.3,2.8,"96",1.7,0.5,"92","360",10,8.1,100.14,"20"
" 9","12","23","5",3.4,2.8,"95",2,1,"93","320",7,16.1,100.14,"25"
"11","12","23","5",3.7,2.7,"93",2.9,1.7,"92","260",9,16.1,100.26,"30"
"13","12","23","5",3.6,2.7,"94",3.4,2.1,"91","290",4,16.1,100.26,"35"
"15","12","23","5",3,2.1,"94",3.6,2.1,"90"," 40",4,16.1,100.36,"50"
"17","12","23","5",3.1,2.4,"95",3.6,2,"89","360",2,24.1,100.49,"50"
"19","12","23","5",2.5,1.9,"96",4,2.2,"88"," 60",6,24.1,100.58,"50"
"21","12","23","5",2.8,2.1,"96",3.5,2,"90","350",7,19.3,100.7,"45"
" 6","12","23","5",3.6,2.9,"95",2.4,1.4,"93","360",10,9.7,100.17,"20"
" 8","12","23","5",3.8,2.9,"94",1.8,0.8,"93","350",7,8.1,100.1,"25"
"10","12","23","5",3.8,3.2,"96",2.3,1.4,"94","260",4,16.1,100.22,"25"
"12","12","23","5",3.4,2.5,"94",3.2,2,"92","290",9,12.9,100.26,"35"
"14","12","23","5",3.2,2.3,"94",3.4,2.1,"91"," 10",6,12.9,100.28,"45"
"16","12","23","5",3,2.2,"94",3.6,2.1,"90"," 60",7,24.1,100.4,"50"
"18","12","23","5",2.7,2,"95",3.8,2,"88"," 50",7,24.1,100.52,"50"
"20","12","23","5",2.5,1.8,"95",3.9,1.9,"87"," 20",6,24.1,100.62,"45"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27," 0"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32," 0"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38," 0"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44," 0"
"11","12","24","6",3.5,2,"90",3.8,0.3,"78","350",11,24.1,101.45," 0"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46," 0"
"13","12","24","6",4.6,1.5,"80",4.2,0.7,"78","350",11,24.1,101.46," 0"
"14","12","24","6",4.2,0,"74",3.6,0.7,"81","350",13,24.1,101.46," 0"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48," 0"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55," 0"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57," 0"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63," 0"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32,"35"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"15"
"20","12","24","6",2.3,0.2,"86",1.1,-0.5,"89","360",5,24.1,101.62,"45"
" 5","12","24","6",2.7,1.8,"94",16.8,4.3,"44"," 60",3,24.1,101.74,"15"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27,"45"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44,"15"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"45"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"15"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"45"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27," 0"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38," 0"
"11","12","24","6",3.5,2,"90",3.8,0.3,"78","350",11,24.1,101.45," 0"
"13","12","24","6",4.6,1.5,"80",4.2,0.7,"78","350",11,24.1,101.46," 0"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48," 0"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55," 0"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57," 0"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63," 0"
" 5","12","24","6",2.7,1.8,"94",5,3.5,"91","240",30,24.1,101.87,"40"
" 5","12","24","6",2.7,1.8,"94",27.3,6.3,"26"," 10",5,24.1,102.46,"50"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32,"15"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38,"35"
"14","12","24","6",4.2,0,"74",3.6,0.7,"81","350",13,24.1,101.46,"30"
"16","12","24","6",3.8,-0.9,"72",3.5,0.4,"80","360",10,24.1,101.5," 0"
"18","12","24","6",2.6,0.5,"86",1.7,-0.1,"88","350",4,24.1,101.58,"35"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57,"10"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27," 0"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32," 0"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38," 0"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44," 0"
"11","12","24","6",3.5,2,"90",3.8,0.3,"78","350",11,24.1,101.45," 0"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46," 0"
"13","12","24","6",4.6,1.5,"80",4.2,0.7,"78","350",11,24.1,101.46," 0"
"14","12","24","6",4.2,0,"74",3.6,0.7,"81","350",13,24.1,101.46," 0"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48," 0"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55," 0"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57," 0"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63," 0"
" 5","12","24","6",2.7,1.8,"94",25.1,8.2,"33"," 40",7,24.1,101.92,"15"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27,"45"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44,"15"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"45"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"15"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"45"
" 6","12","24","6",2.7,1.8,"94",1.4,0.4,"93","340",6,24.1,101.21,"20"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32,"30"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44,"40"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"50"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"10"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"20"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57,"30"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63,"30"
" 6","12","24","6",2.7,1.8,"94",1.4,0.4,"93","340",6,24.1,101.21," 0"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32," 0"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38," 5"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44," 5"
"11","12","24","6",3.5,2,"90",3.8,0.3,"78","350",11,24.1,101.45," 5"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"10"
"14","12","24","6",4.2,0,"74",3.6,0.7,"81","350",13,24.1,101.46,"35"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"45"
"16","12","24","6",3.8,-0.9,"72",3.5,0.4,"80","360",10,24.1,101.5,"45"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"50"
"18","12","24","6",2.6,0.5,"86",1.7,-0.1,"88","350",4,24.1,101.58,"50"
"20","12","24","6",2.3,0.2,"86",1.1,-0.5,"89","360",5,24.1,101.62,"40"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63,"40"
" 6","12","24","6",2.7,1.8,"94",1.4,0.4,"93","340",6,24.1,101.21,"20"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32,"30"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44,"40"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"50"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"10"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"20"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57,"30"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63,"30"
" 7","12","24","6",2.7,1.6,"92",1,0.1,"94","340",5,24.1,101.27,"20"
" 9","12","24","6",2.8,1.5,"92",1.2,0.1,"92","340",5,24.1,101.38,"25"
"11","12","24","6",3.5,2,"90",3.8,0.3,"78","350",11,24.1,101.45,"30"
"13","12","24","6",4.6,1.5,"80",4.2,0.7,"78","350",11,24.1,101.46,"35"
"15","12","24","6",4.3,-0.6,"70",3.8,0.7,"80","360",9,24.1,101.48,"50"
"17","12","24","6",4.2,1.4,"82",2.6,0.2,"84","360",8,24.1,101.55,"50"
"19","12","24","6",2.7,0.7,"87",1.7,-0.6,"85","350",4,24.1,101.57,"50"
"21","12","24","6",2.1,-0.9,"80",0.9,-0.7,"89"," 20",5,24.1,101.63,"45"
" 6","12","24","6",2.7,1.8,"94",1.4,0.4,"93","340",6,24.1,101.21,"20"
" 8","12","24","6",2.6,1.5,"93",1.1,0.2,"94","340",7,24.1,101.32,"25"
"10","12","24","6",3.3,1.9,"91",2.3,0.2,"86"," 10",7,24.1,101.44,"25"
"12","12","24","6",3.5,1.6,"87",4.2,0.7,"78","350",14,24.1,101.46,"35"
"14","12","24","6",4.2,0,"74",3.6,0.7,"81","350",13,24.1,101.46,"45"
"16","12","24","6",3.8,-0.9,"72",3.5,0.4,"80","360",10,24.1,101.5,"50"
"18","12","24","6",2.6,0.5,"86",1.7,-0.1,"88","350",4,24.1,101.58,"50"
"20","12","24","6",2.3,0.2,"86",1.1,-0.5,"89","360",5,24.1,101.62,"45"
" 7","12","25","7",-0.9,-2.7,"88",1.1,-4.6,"66","360",8,24.1,101.88," 0"
" 9","12","25","7",1,-2.9,"75",0.1,-3.6,"76","340",8,24.1,101.99," 0"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1," 0"
"13","12","25","7",3.4,-4,"58",2.8,-3.8,"62","360",14,24.1,102.12," 0"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13," 0"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18," 0"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2," 0"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25," 0"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1,"10"
"18","12","25","7",1.7,-3.2,"70",1.8,-3.9,"66","350",10,24.1,102.2,"40"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25,"35"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04,"15"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"45"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"15"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"45"
" 9","12","25","7",1,-2.9,"75",0.1,-3.6,"76","340",8,24.1,101.99," 0"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1," 0"
"13","12","25","7",3.4,-4,"58",2.8,-3.8,"62","360",14,24.1,102.12," 0"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13," 0"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18," 0"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2," 0"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25," 0"
" 6","12","25","7",0.3,-2.2,"83",1.7,-5.3,"60"," 30",7,24.1,101.83," 0"
" 9","12","25","7",1,-2.9,"75",0.1,-3.6,"76","340",8,24.1,101.99,"35"
"14","12","25","7",2.4,-4,"62",2.9,-3.7,"62"," 10",12,24.1,102.12,"15"
"14","12","25","7",2.4,-4,"62",2.9,-3.7,"62"," 10",12,24.1,102.12,"40"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"25"
"18","12","25","7",1.7,-3.2,"70",1.8,-3.9,"66","350",10,24.1,102.2,"25"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2,"10"
" 7","12","25","7",-0.9,-2.7,"88",1.1,-4.6,"66","360",8,24.1,101.88," 0"
" 9","12","25","7",1,-2.9,"75",0.1,-3.6,"76","340",8,24.1,101.99," 0"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1," 0"
"13","12","25","7",3.4,-4,"58",2.8,-3.8,"62","360",14,24.1,102.12," 0"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13," 0"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18," 0"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2," 0"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25," 0"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04,"15"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"45"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"15"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"45"
" 6","12","25","7",0.3,-2.2,"83",1.7,-5.3,"60"," 30",7,24.1,101.83,"20"
" 8","12","25","7",-1.5,-2.6,"92",0.2,-4.1,"73","340",8,24.1,101.91,"30"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04,"40"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"50"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"10"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"20"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2,"30"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25,"30"
" 8","12","25","7",-1.5,-2.6,"92",0.2,-4.1,"73","340",8,24.1,101.91," 0"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04," 5"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1," 5"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"10"
"14","12","25","7",2.4,-4,"62",2.9,-3.7,"62"," 10",12,24.1,102.12,"35"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"45"
"16","12","25","7",2.3,-3.2,"67",2.3,-4,"63","350",12,24.1,102.13,"45"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"50"
"18","12","25","7",1.7,-3.2,"70",1.8,-3.9,"66","350",10,24.1,102.2,"50"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2,"50"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25,"40"
" 6","12","25","7",0.3,-2.2,"83",1.7,-5.3,"60"," 30",7,24.1,101.83,"20"
" 8","12","25","7",-1.5,-2.6,"92",0.2,-4.1,"73","340",8,24.1,101.91,"30"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04,"40"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"50"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"10"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"20"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2,"30"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25,"30"
" 9","12","25","7",1,-2.9,"75",0.1,-3.6,"76","340",8,24.1,101.99,"25"
"11","12","25","7",2.7,-2.5,"68",1.9,-2.3,"74"," 10",3,24.1,102.1,"30"
"13","12","25","7",3.4,-4,"58",2.8,-3.8,"62","360",14,24.1,102.12,"35"
"15","12","25","7",2.8,-2.6,"67",2.7,-3.9,"62","360",10,24.1,102.13,"50"
"17","12","25","7",2,-3.2,"69",2,-3.5,"67","350",8,24.1,102.18,"50"
"19","12","25","7",0.8,-1.8,"83",1.6,-3.5,"69","350",8,24.1,102.2,"50"
"21","12","25","7",1.1,-2,"80",1.5,-3.4,"70","360",10,24.1,102.25,"45"
" 8","12","25","7",-1.5,-2.6,"92",0.2,-4.1,"73","340",8,24.1,101.91,"25"
"10","12","25","7",2.5,-2,"72",0.8,-3.5,"73","350",5,24.1,102.04,"25"
"12","12","25","7",2.9,-3.9,"61",2.8,-3.1,"65","350",12,24.1,102.11,"35"
